time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450000000	15.8804	19.7642	4.7761	2.6302	0.546058	lidar	0.694588	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.687	19.8924	4.768	2.63529	0.500715	radar	3.28895	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4711	20.033	4.78686	2.65339	0.49199	lidar	1.26738	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2665	20.1697	4.79421	2.66459	0.471868	radar	5.71473	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0752	20.3031	4.79164	2.6759	0.459511	lidar	1.80988	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8464	20.3848	4.79122	2.71311	0.481242	radar	2.13886	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6335	20.5021	4.79667	2.72975	0.473243	lidar	0.660191	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4027	20.5855	4.80202	2.76598	0.497937	radar	1.34413	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1597	20.658	4.80992	2.79806	0.504696	lidar	0.832331	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9271	20.7267	4.81236	2.83367	0.525538	radar	0.416592	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6637	20.7851	4.83245	2.86871	0.53298	lidar	2.16908	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4198	20.8138	4.8335	2.9224	0.583751	radar	2.44211	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1725	20.8575	4.83985	2.9548	0.586523	lidar	0.262668	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9429	20.9144	4.83818	2.97716	0.578523	radar	1.70033	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7274	20.968	4.82547	2.99751	0.570804	lidar	1.53356	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4825	21.0045	4.83276	3.02683	0.574266	radar	2.71979	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2364	21.0429	4.8414	3.05098	0.568753	lidar	0.290896	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9992	21.0617	4.84027	3.08278	0.578374	radar	0.915439	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7492	21.0374	4.83866	3.12496	0.592319	lidar	1.8165	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.5038	21.023	4.8389	3.1611	0.600469	radar	1.08392	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2756	21.0226	4.82942	3.18759	0.597663	lidar	0.503036	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0251	20.9825	4.83364	3.22805	0.609577	radar	4.19983	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8003	20.9505	4.81968	3.26104	0.613562	lidar	0.45434	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
